max_depth,learning_rate,n_estimators,score,time
5, 0.035, 200, 0.756,1.2min
5, 0.035, 200, 0.751,1.2min
5, 0.035, 225, 0.748,1.1min
5, 0.035, 225, 0.746,1.0min
5, 0.035, 225, 0.759,1.0min
5, 0.035, 225, 0.755,1.1min
5, 0.035, 225, 0.750,1.0min
5, 0.035, 225, 0.748, 58.2s
[CV 1/30] END base_estimator__max_depth=3, 0.025, 175, 0.748, 36.6s
[CV 3/30] END base_estimator__max_depth=3, 0.025, 175, 0.738, 36.6s
[CV 5/30] END base_estimator__max_depth=3, 0.025, 175, 0.767, 36.7s
[CV 2/30] END base_estimator__max_depth=3, 0.025, 175, 0.735, 36.8s
[CV 4/30] END base_estimator__max_depth=3, 0.025, 175, 0.735, 37.2s
[CV 8/30] END base_estimator__max_depth=3, 0.025, 175, 0.746, 36.0s
[CV 9/30] END base_estimator__max_depth=3, 0.025, 175, 0.743, 36.0s
[CV 6/30] END base_estimator__max_depth=3, 0.025, 175, 0.717, 36.3s
[CV 7/30] END base_estimator__max_depth=3, 0.025, 175, 0.738, 36.3s
[CV 10/30] END base_estimator__max_depth=3, 0.025, 175, 0.729, 35.9s
[CV 11/30] END base_estimator__max_depth=3, 0.025, 175, 0.751, 34.3s
[CV 12/30] END base_estimator__max_depth=3, 0.025, 175, 0.730, 34.3s
[CV 14/30] END base_estimator__max_depth=3, 0.025, 175, 0.745, 34.2s
[CV 13/30] END base_estimator__max_depth=3, 0.025, 175, 0.742, 34.2s
[CV 15/30] END base_estimator__max_depth=3, 0.025, 175, 0.742, 34.3s
[CV 16/30] END base_estimator__max_depth=3, 0.025, 175, 0.736, 39.4s
[CV 17/30] END base_estimator__max_depth=3, 0.025, 175, 0.739, 39.3s
[CV 18/30] END base_estimator__max_depth=3, 0.025, 175, 0.729, 40.1s
[CV 19/30] END base_estimator__max_depth=3, 0.025, 175, 0.737, 40.1s
[CV 20/30] END base_estimator__max_depth=3, 0.025, 175, 0.747, 40.1s
[CV 21/30] END base_estimator__max_depth=3, 0.025, 175, 0.743, 38.4s
[CV 22/30] END base_estimator__max_depth=3, 0.025, 175, 0.727, 38.3s
[CV 24/30] END base_estimator__max_depth=3, 0.025, 175, 0.764, 38.0s
[CV 23/30] END base_estimator__max_depth=3, 0.025, 175, 0.759, 38.2s
[CV 25/30] END base_estimator__max_depth=3, 0.025, 175, 0.727, 38.1s
[CV 27/30] END base_estimator__max_depth=3, 0.025, 175, 0.755, 36.9s
[CV 26/30] END base_estimator__max_depth=3, 0.025, 175, 0.760, 37.3s
